asset_id,category,asset_name,length_sec,format,loop,source,prompt,usage,priority,epic
S013,music_sting,match_celebration_sting,4,m4a,oneshot,elevenlabs,"lo-fi beats crossed with SNES-era chiptune, in the spirit of Sayonara Wild Hearts and 2064: Read Only Memories. Warm vinyl crackle texture underneath clean synth leads. Mid-to-low BPM unless specified. Magenta/cyan-coded vibes — hopeful, slightly nocturnal, occasionally uneasy. Avoid orchestral, avoid pure 8-bit, avoid trap or drill. Mix should sit cleanly under voice — leave 800Hz-3kHz space for dialogue. A 4-second celebration sting that plays when the player matches with someone. Bright chiptune flourish resolving to a hopeful major chord. Lo-fi crackle layer underneath. Should feel like a small win without feeling sarcastic — even though the game is sarcastic. Hard out on the final note, no fade.",Match celebration overlay,P0,audio_stings
S014,music_sting,clue_discovered_sting,3,m4a,oneshot,elevenlabs,"lo-fi beats crossed with SNES-era chiptune, in the spirit of Sayonara Wild Hearts and 2064: Read Only Memories. Warm vinyl crackle texture underneath clean synth leads. Mid-to-low BPM unless specified. Magenta/cyan-coded vibes — hopeful, slightly nocturnal, occasionally uneasy. Avoid orchestral, avoid pure 8-bit, avoid trap or drill. Mix should sit cleanly under voice — leave 800Hz-3kHz space for dialogue. A 3-second 'aha' sting for when the player discovers a new clue. Two-note rising chiptune motif with a soft lo-fi tail. Feels like a thought clicking into place. NOT a video-game level-up — restrained, almost introspective.","Clue discovery overlay (chat clue, social post clue, journal log)",P0,audio_stings
S015,music_sting,clue_discovered_date_subtle,2,m4a,oneshot,elevenlabs,"lo-fi beats crossed with SNES-era chiptune, in the spirit of Sayonara Wild Hearts and 2064: Read Only Memories. Warm vinyl crackle texture underneath clean synth leads. Mid-to-low BPM unless specified. Magenta/cyan-coded vibes — hopeful, slightly nocturnal, occasionally uneasy. Avoid orchestral, avoid pure 8-bit, avoid trap or drill. Mix should sit cleanly under voice — leave 800Hz-3kHz space for dialogue. A subtler version of the clue sting for in-date discovery moments. Single soft chiptune chime, barely registers, no crescendo. The clue feels INTERNAL — the player notices something rather than the game announcing it. 1.5-2 seconds. Below normal sting volume.",In-date clue discovery (per Epic 6.4),P0,audio_stings
S016,music_sting,focus_shift_sting,2,m4a,oneshot,elevenlabs,"A short 2-second tonal sting that plays during the Focus Shift camera transition. Synthetic, slightly uncanny — a reverse cymbal swell crossed with a chiptune pitch-bend. Sits over the visual CRT-glitch overlay. Should feel momentarily UNSETTLING without being scary. Hard transition in, hard transition out.",Focus Shift transition (Epic 3.5),P0,audio_stings
S017,music_sting,saint_mask_subliminal_tone,1,m4a,oneshot,elevenlabs,"A barely-perceptible 1-second tone for the Saint Mask emotion-cue moments (Epic 6.3). High frequency around 3kHz, -20dB, 200ms duration. Not musical — almost a hum or whine. Should feel like a vintage TV powering on for a millisecond. Below conscious detection threshold but creates unease.",Saint Mask subliminal cue (Epic 6.3),P1,audio_stings
S018,music_sting,level_complete_day_advance,4,m4a,oneshot,elevenlabs,"lo-fi beats crossed with SNES-era chiptune, in the spirit of Sayonara Wild Hearts and 2064: Read Only Memories. Warm vinyl crackle texture underneath clean synth leads. Mid-to-low BPM unless specified. Magenta/cyan-coded vibes — hopeful, slightly nocturnal, occasionally uneasy. Avoid orchestral, avoid pure 8-bit, avoid trap or drill. Mix should sit cleanly under voice — leave 800Hz-3kHz space for dialogue. A 4-second day-end transition sting. Plays when the player advances from Day N to Day N+1. Reflective, not triumphant. Single ascending chiptune melody resolving to a sustained pad. Implies progress without celebration.",Day advance transition,P0,audio_stings
S019,music_sting,wrong_choice_warn,2,m4a,oneshot,elevenlabs,"A 2-second subtle warning sting for moments when the player makes a choice that strongly damages affinity. Lo-fi static burst with a low piano thunk. Not a buzzer — should feel like 'oh, that landed wrong' rather than 'WRONG ANSWER.' Deflating, not punitive.",Affinity drop > -3 in single choice,P1,audio_stings
S020,music_sting,day7_invitation_received,4,m4a,oneshot,elevenlabs,"A 4-second sting for receiving the Day 7 meet invitation (any character, killer or not). Held synth chord with layered chiptune arpeggio. Should feel WEIGHTY, ambiguous — acceptance is a real choice. The same sting plays whether the inviter is the killer or not (player doesn't know yet).",Day 7 meet invitation chat message,P0,audio_stings
S021,sfx_ui,swipe_left,0.2,m4a,oneshot,elevenlabs,"clean synthetic UI sound, 16-bit videogame aesthetic but with modern production polish. Crisp transients, short tail, no realistic physical foley. Tonal where appropriate. Sits in app UI without feeling like a toy. Quick whoosh + dry click. Card sliding off-screen left. Slightly negative-tinted. Synthetic, no realistic paper sound.",UI feedback — swipe left,P0,audio_ui_sfx
S022,sfx_ui,swipe_right,0.2,m4a,oneshot,elevenlabs,"clean synthetic UI sound, 16-bit videogame aesthetic but with modern production polish. Crisp transients, short tail, no realistic physical foley. Tonal where appropriate. Sits in app UI without feeling like a toy. Quick whoosh + bright synthetic chime. Card sliding off-screen right. Slightly more positive than swipe_left.",UI feedback — swipe right,P0,audio_ui_sfx
S023,sfx_ui,card_snap_back,0.15,m4a,oneshot,elevenlabs,"clean synthetic UI sound, 16-bit videogame aesthetic but with modern production polish. Crisp transients, short tail, no realistic physical foley. Tonal where appropriate. Sits in app UI without feeling like a toy. Soft bounce sound when a card returns to center after an incomplete swipe. Lo-fi rubber-band bounce, no springiness.",UI feedback — card snap back,P0,audio_ui_sfx
S024,sfx_ui,button_tap_primary,0.1,m4a,oneshot,elevenlabs,"clean synthetic UI sound, 16-bit videogame aesthetic but with modern production polish. Crisp transients, short tail, no realistic physical foley. Tonal where appropriate. Sits in app UI without feeling like a toy. Crisp synthetic click for primary buttons. Mid-pitch, satisfying, slightly punchy. Mobile game UI standard.",UI feedback — button tap primary,P0,audio_ui_sfx
S025,sfx_ui,button_tap_secondary,0.1,m4a,oneshot,elevenlabs,"clean synthetic UI sound, 16-bit videogame aesthetic but with modern production polish. Crisp transients, short tail, no realistic physical foley. Tonal where appropriate. Sits in app UI without feeling like a toy. Slightly softer/lower variant of button_tap_primary for secondary actions. Same family, less prominent.",UI feedback — button tap secondary,P0,audio_ui_sfx
S026,sfx_ui,tab_switch,0.1,m4a,oneshot,elevenlabs,"clean synthetic UI sound, 16-bit videogame aesthetic but with modern production polish. Crisp transients, short tail, no realistic physical foley. Tonal where appropriate. Sits in app UI without feeling like a toy. Quick dual-tone synth blip for tab bar switching. Short, no melodic implication, just feedback.",UI feedback — tab switch,P0,audio_ui_sfx
S027,sfx_ui,modal_open,0.3,m4a,oneshot,elevenlabs,"clean synthetic UI sound, 16-bit videogame aesthetic but with modern production polish. Crisp transients, short tail, no realistic physical foley. Tonal where appropriate. Sits in app UI without feeling like a toy. Two-stage synthetic sound for modal/sheet presentation. Subtle whoosh into a soft settle tone.",UI feedback — modal open,P0,audio_ui_sfx
S028,sfx_ui,modal_close,0.2,m4a,oneshot,elevenlabs,"clean synthetic UI sound, 16-bit videogame aesthetic but with modern production polish. Crisp transients, short tail, no realistic physical foley. Tonal where appropriate. Sits in app UI without feeling like a toy. Reverse of modal_open — settle into whoosh. Slightly lower volume.",UI feedback — modal close,P0,audio_ui_sfx
S029,sfx_ui,message_send,0.2,m4a,oneshot,elevenlabs,"clean synthetic UI sound, 16-bit videogame aesthetic but with modern production polish. Crisp transients, short tail, no realistic physical foley. Tonal where appropriate. Sits in app UI without feeling like a toy. Outgoing message sent — brief synth swoop upward, like an arrow leaving. Subtle satisfaction.",UI feedback — message send,P0,audio_ui_sfx
S030,sfx_ui,message_received,0.3,m4a,oneshot,elevenlabs,"clean synthetic UI sound, 16-bit videogame aesthetic but with modern production polish. Crisp transients, short tail, no realistic physical foley. Tonal where appropriate. Sits in app UI without feeling like a toy. Incoming message — soft synth chime with a tiny vinyl-crackle leading edge. Quieter than message_send so it doesn't startle during dates.",UI feedback — message received,P0,audio_ui_sfx
S031,sfx_ui,typing_indicator_loop,1.0,m4a,oneshot,elevenlabs,"clean synthetic UI sound, 16-bit videogame aesthetic but with modern production polish. Crisp transients, short tail, no realistic physical foley. Tonal where appropriate. Sits in app UI without feeling like a toy. Loop. The dotted-dot-dot animation sound — barely audible synth tick every ~300ms. Loops while typing indicator is visible.",UI feedback — typing indicator loop,P0,audio_ui_sfx
S032,sfx_ui,clue_log_to_journal,0.4,m4a,oneshot,elevenlabs,"clean synthetic UI sound, 16-bit videogame aesthetic but with modern production polish. Crisp transients, short tail, no realistic physical foley. Tonal where appropriate. Sits in app UI without feeling like a toy. The drag-to-log commit action sound. Two-stage: a soft synth pickup tone followed by a satisfying clink as the clue lands in the journal. Should reward the engagement.",UI feedback — clue log to journal,P0,audio_ui_sfx
S033,sfx_ui,journal_open,0.3,m4a,oneshot,elevenlabs,"clean synthetic UI sound, 16-bit videogame aesthetic but with modern production polish. Crisp transients, short tail, no realistic physical foley. Tonal where appropriate. Sits in app UI without feeling like a toy. Page-turn-adjacent but synthetic. Soft whoosh + a chiptune chord. Not literal paper sound.",UI feedback — journal open,P0,audio_ui_sfx
S034,sfx_ui,clue_link_drawn,0.3,m4a,oneshot,elevenlabs,"clean synthetic UI sound, 16-bit videogame aesthetic but with modern production polish. Crisp transients, short tail, no realistic physical foley. Tonal where appropriate. Sits in app UI without feeling like a toy. When the player connects two clues in the journal — a rising two-note synth motif. Like wires connecting.",UI feedback — clue link drawn,P0,audio_ui_sfx
S035,sfx_ui,notification_small,0.3,m4a,oneshot,elevenlabs,"clean synthetic UI sound, 16-bit videogame aesthetic but with modern production polish. Crisp transients, short tail, no realistic physical foley. Tonal where appropriate. Sits in app UI without feeling like a toy. Tiny synth chime for in-app notification badges. Pleasant, not insistent.",UI feedback — notification small,P0,audio_ui_sfx
S036,sfx_ui,notification_large,0.5,m4a,oneshot,elevenlabs,"clean synthetic UI sound, 16-bit videogame aesthetic but with modern production polish. Crisp transients, short tail, no realistic physical foley. Tonal where appropriate. Sits in app UI without feeling like a toy. Slightly more prominent variant for priority notifications (date invitation, friend text with hint). Same family.",UI feedback — notification large,P0,audio_ui_sfx
S037,sfx_ui,dialogue_advance_tap,0.05,m4a,oneshot,elevenlabs,"clean synthetic UI sound, 16-bit videogame aesthetic but with modern production polish. Crisp transients, short tail, no realistic physical foley. Tonal where appropriate. Sits in app UI without feeling like a toy. The 'tap to advance dialogue' click. Very short, very soft synthetic blip. Will fire hundreds of times per date — MUST not become annoying.",UI feedback — dialogue advance tap,P0,audio_ui_sfx
S038,sfx_ui,choice_button_hover,0.08,m4a,oneshot,elevenlabs,"clean synthetic UI sound, 16-bit videogame aesthetic but with modern production polish. Crisp transients, short tail, no realistic physical foley. Tonal where appropriate. Sits in app UI without feeling like a toy. Subtle synth tone when hovering/touching a choice button before commit. Almost imperceptible.",UI feedback — choice button hover,P0,audio_ui_sfx
S039,sfx_ui,choice_button_select,0.15,m4a,oneshot,elevenlabs,"clean synthetic UI sound, 16-bit videogame aesthetic but with modern production polish. Crisp transients, short tail, no realistic physical foley. Tonal where appropriate. Sits in app UI without feeling like a toy. Choice committed. Slightly more punchy than choice_button_hover. Confirms decision.",UI feedback — choice button select,P0,audio_ui_sfx
S040,sfx_ui,error_soft,0.2,m4a,oneshot,elevenlabs,"clean synthetic UI sound, 16-bit videogame aesthetic but with modern production polish. Crisp transients, short tail, no realistic physical foley. Tonal where appropriate. Sits in app UI without feeling like a toy. When an action can't complete (e.g. trying to swipe with no cards left). Soft synthetic thud, no harsh buzzer.",UI feedback — error soft,P0,audio_ui_sfx
S041,sfx_ui,affinity_up,0.3,m4a,oneshot,elevenlabs,"clean synthetic UI sound, 16-bit videogame aesthetic but with modern production polish. Crisp transients, short tail, no realistic physical foley. Tonal where appropriate. Sits in app UI without feeling like a toy. When a choice raises affinity. Subtle rising synth tone. Gentle.",UI feedback — affinity up,P0,audio_ui_sfx
S042,sfx_ui,affinity_down,0.3,m4a,oneshot,elevenlabs,"clean synthetic UI sound, 16-bit videogame aesthetic but with modern production polish. Crisp transients, short tail, no realistic physical foley. Tonal where appropriate. Sits in app UI without feeling like a toy. When a choice drops affinity. Subtle falling synth tone. Gentle. Distinct from wrong_choice_warn (that's for big drops).",UI feedback — affinity down,P0,audio_ui_sfx
S043,ambience,ambience_coffee_shop_day,60,m4a,seamless,elevenlabs,"naturalistic real-world sound, recorded or sample-library quality. Sits in the world of the scene as if heard from the player's POV. A 60-second seamless loop of warm daytime cafe ambience. Soft espresso machine in background (occasional steam wand), murmured indistinct conversation at -25dB, very occasional ceramic cup-on-saucer tink, distant lo-fi music coming from cafe speakers (barely perceptible). NO foreground voices — should feel real but not distracting from the date dialogue.",Background ambience for coffee shop day,P0,audio_ambience
S044,ambience,ambience_coffee_shop_night,60,m4a,seamless,elevenlabs,"naturalistic real-world sound, recorded or sample-library quality. Sits in the world of the scene as if heard from the player's POV. A 60-second seamless loop of nighttime cafe ambience. Quieter than daytime — fewer voices, just one or two distant murmurs, slight refrigerator hum, occasional creak of a chair. Slightly melancholy.",Background ambience for coffee shop night,P0,audio_ambience
S045,ambience,ambience_restaurant_night,60,m4a,seamless,elevenlabs,"naturalistic real-world sound, recorded or sample-library quality. Sits in the world of the scene as if heard from the player's POV. A 60-second seamless loop of upscale restaurant nighttime ambience. Soft murmured conversation (more present than cafe), occasional ice-in-glass tinkle, very faint kitchen sounds in the distance, distant slow jazz piano (real-instrument feel, barely audible). Romantic but not stagey.",Background ambience for restaurant night,P0,audio_ambience
S046,ambience,ambience_park_day,60,m4a,seamless,elevenlabs,"naturalistic real-world sound, recorded or sample-library quality. Sits in the world of the scene as if heard from the player's POV. A 60-second seamless loop of urban park afternoon ambience. Distant traffic at -30dB, occasional bird calls (general urban birds, not specific species), soft breeze through leaves, very rare distant dog bark. Open and airy, NOT the immersive forest/nature loop — this is a city park.",Background ambience for park day,P0,audio_ambience
S047,ambience,ambience_apartment_evening,60,m4a,seamless,elevenlabs,"naturalistic real-world sound, recorded or sample-library quality. Sits in the world of the scene as if heard from the player's POV. A 60-second seamless loop of small modern apartment evening ambience. Refrigerator hum (steady, low), occasional traffic from the window, very rare neighbor footstep through wall, soft AC/HVAC. Quiet, slightly lonely.",Background ambience for apartment evening,P0,audio_ambience
S048,ambience,ambience_bar_night,60,m4a,seamless,elevenlabs,"naturalistic real-world sound, recorded or sample-library quality. Sits in the world of the scene as if heard from the player's POV. A 60-second seamless loop of dive bar nighttime ambience. Background indistinct conversation more present than cafe, occasional clink of glass on bar, distant pool ball break, muffled bar jukebox playing something unspecified rock-adjacent in the distance. Slightly louder background than other ambience tracks.",Background ambience for bar night,P0,audio_ambience
S049,ambience,ambience_day7_meet_setting,90,m4a,seamless,elevenlabs,"naturalistic real-world sound, recorded or sample-library quality. Sits in the world of the scene as if heard from the player's POV. A 90-second seamless loop matching the env_day7_meet_setting (closed restaurant or quiet park or riverside path — pick the one that matches the visual asset). Mostly silent — distant ambient hum, occasional unidentifiable sound (a far car, a distant voice that cuts off, wind through something), the OCCASIONAL near-silent moment that makes the player tense up. Carries weight without being scary.",Background ambience for day7 meet setting,P0,audio_ambience
S050,ambience,ambience_killer_reveal,30,m4a,oneshot,elevenlabs,"naturalistic real-world sound, recorded or sample-library quality. Sits in the world of the scene as if heard from the player's POV. A 30-second one-shot ambient bed for the killer reveal cutscene environment (parking garage at night). Fluorescent ballast hum, occasional flicker-buzz, distant water drip, the listener's breathing implied. Tense, but the music carries the emotional load — this is supporting texture only. One-shot, plays once during the cutscene.",Background ambience for killer reveal,P0,audio_ambience
S051,sfx_diegetic,phone_buzz_short,0.4,m4a,oneshot,elevenlabs,"naturalistic real-world sound, recorded or sample-library quality. Sits in the world of the scene as if heard from the player's POV. A short single phone vibration buzz. The kind you hear when your phone gets a notification face-up on a hard surface. Used when the player receives a new message in-game (paired with message_received synth chime for layered effect).",Diegetic one-shot — phone buzz short,P1,audio_diegetic_oneshots
S052,sfx_diegetic,phone_buzz_long,1.5,m4a,oneshot,elevenlabs,"naturalistic real-world sound, recorded or sample-library quality. Sits in the world of the scene as if heard from the player's POV. A continuous phone vibrate for an incoming call/longer notification. Used for high-priority events (Day 7 invitation received, major friend hint).",Diegetic one-shot — phone buzz long,P1,audio_diegetic_oneshots
S053,sfx_diegetic,door_open_distant,0.8,m4a,oneshot,elevenlabs,"naturalistic real-world sound, recorded or sample-library quality. Sits in the world of the scene as if heard from the player's POV. A distant door opening — soft, not threatening. Used during Eastworld ambient turns where the date partner refers to something happening behind them ('oh, someone just walked in').",Diegetic one-shot — door open distant,P1,audio_diegetic_oneshots
S054,sfx_diegetic,chair_movement_soft,0.6,m4a,oneshot,elevenlabs,"naturalistic real-world sound, recorded or sample-library quality. Sits in the world of the scene as if heard from the player's POV. Soft sound of a chair shifting/sliding slightly. Used when the date partner adjusts their seating (visual ties to a Focus Shift).",Diegetic one-shot — chair movement soft,P1,audio_diegetic_oneshots
S055,sfx_diegetic,cup_set_down,0.3,m4a,oneshot,elevenlabs,"naturalistic real-world sound, recorded or sample-library quality. Sits in the world of the scene as if heard from the player's POV. Ceramic coffee cup being set down on a wooden table. Specific. Used as a beat marker during coffee shop dates.",Diegetic one-shot — cup set down,P1,audio_diegetic_oneshots
S056,sfx_diegetic,glass_set_down,0.3,m4a,oneshot,elevenlabs,"naturalistic real-world sound, recorded or sample-library quality. Sits in the world of the scene as if heard from the player's POV. Glass being set down on a bar or restaurant table. Slightly different timbre than cup_set_down.",Diegetic one-shot — glass set down,P1,audio_diegetic_oneshots
S057,sfx_diegetic,page_flip_paper,0.4,m4a,oneshot,elevenlabs,"naturalistic real-world sound, recorded or sample-library quality. Sits in the world of the scene as if heard from the player's POV. A single page flip of paper. Used in journal interactions alongside the synthetic journal_open SFX for a layered feel.",Diegetic one-shot — page flip paper,P1,audio_diegetic_oneshots
S058,sfx_diegetic,camera_shutter_phone,0.3,m4a,oneshot,elevenlabs,"naturalistic real-world sound, recorded or sample-library quality. Sits in the world of the scene as if heard from the player's POV. Modern phone camera shutter sound. Used when a friend NPC sends a corgi photo (Epic 7.7).",Diegetic one-shot — camera shutter phone,P1,audio_diegetic_oneshots
S059,sfx_diegetic,dog_bark_corgi_distant,0.6,m4a,oneshot,elevenlabs,"naturalistic real-world sound, recorded or sample-library quality. Sits in the world of the scene as if heard from the player's POV. Soft, distant single corgi bark. Used very sparingly in friend chat as a hidden audio Easter egg — fires occasionally when a friend's pet-photo message arrives.",Diegetic one-shot — dog bark corgi distant,P1,audio_diegetic_oneshots
S060,sfx_diegetic,wind_gust_brief,1.2,m4a,oneshot,elevenlabs,"naturalistic real-world sound, recorded or sample-library quality. Sits in the world of the scene as if heard from the player's POV. A single brief wind gust. Used during park dates as an occasional one-shot over the park ambience loop.",Diegetic one-shot — wind gust brief,P1,audio_diegetic_oneshots
S061,sfx_diegetic,traffic_distant_pass,1.5,m4a,oneshot,elevenlabs,"naturalistic real-world sound, recorded or sample-library quality. Sits in the world of the scene as if heard from the player's POV. A single car passing in the middle distance. Used in apartment and park ambience as occasional one-shot variation.",Diegetic one-shot — traffic distant pass,P1,audio_diegetic_oneshots
S062,sfx_narrative,saint_mask_first_glimpse,1.5,m4a,oneshot,elevenlabs,"A subtle, almost-imperceptible audio cue that fires the FIRST time per run that the player views the killer's portrait (swipe card or chat avatar). A single near-silent harmonic tone, slightly detuned, ~1.5 seconds, fades in and out. Below conscious detection threshold but plants unease. Fires ONCE per run, then never again — psychological priming.","First-glimpse-of-killer cue, plays once per run",P1,audio_narrative
S063,sfx_narrative,accusation_lock_in,2,m4a,oneshot,elevenlabs,The sound of the accusation being committed. Two-stage: a low synth thunk crossed with a vinyl record-stop scratch. There is no going back. Plays the moment the player confirms their accusation.,Accusation modal commit,P0,audio_narrative
S064,sfx_narrative,ending_reveal_breath,2.5,m4a,oneshot,elevenlabs,"A held breath release — naturalistic, gender-neutral. Plays at the start of the ending cutscene, before the music starts. The player exhaling. Subtle, almost not a sound effect at all.",Ending cutscene opening (all four endings),P1,audio_narrative
S065,sfx_narrative,match_first_message_tone,0.4,m4a,oneshot,elevenlabs,"A specifically-tuned message-received chime that plays only when a NEW match's first message arrives — distinct from the regular message_received SFX. Brighter, more attention-grabbing, slightly hopeful. Fires once per match.",First message from a newly-matched character,P1,audio_narrative
